"","","","edge_btw"
"93","Al-Farouq Aminu","Allen Crabbe","25.5611387463143"
"94","Al-Farouq Aminu","Mason Plumlee","56.4049761583998"
"95","Al-Farouq Aminu","Tim Frazier","27.7057326954444"
"96","Al-Farouq Aminu","Chandler Parsons","74.6933342547002"
"97","Al-Farouq Aminu","Jae Crowder","108.885585361197"
"98","Al-Farouq Aminu","Dirk Nowitzki","49.3921637827971"
"99","Al-Farouq Aminu","Devin Harris","56.2848304098375"
"100","Al-Farouq Aminu","Tyson Chandler","53.945938150529"
"101","Al-Farouq Aminu","Raymond Felton","60.7879423126584"
"102","Al-Farouq Aminu","Lance Thomas","48.6097684935618"
"103","Al-Farouq Aminu","Tyreke Evans","63.9213618392675"
"104","Al-Farouq Aminu","Anthony Davis","39.2707385386544"
"105","Al-Farouq Aminu","Jrue Holiday","33.3347189217151"
"106","Al-Farouq Aminu","Darius Miller","39.0710363358123"
"107","Al-Farouq Aminu","Eric Gordon","53.7474379250399"
"108","Al-Farouq Aminu","Ryan Anderson","48.4312222023831"
"109","Al-Farouq Aminu","Austin Rivers","47.6886484695953"
"110","Al-Farouq Aminu","Jason Smith","37.7949962325645"
"111","Al-Farouq Aminu","Robin Lopez","55.1300057310212"
"112","Al-Farouq Aminu","Marco Belinelli","81.9712205617176"
"113","Al-Farouq Aminu","Trevor Ariza","58.8156168110589"
"114","Al-Farouq Aminu","Eric Bledsoe","44.3050853831007"
"115","Al-Farouq Aminu","DeAndre Jordan","55.2637486887505"
"116","Al-Farouq Aminu","Blake Griffin","62.4901344191465"
"117","Seth Curry","Maurice Harkless","43.189266738542"
"118","Seth Curry","Jake Layman","82.6269308174197"
"119","Seth Curry","Evan Turner","21.5914212209672"
"120","Seth Curry","Zach Collins","87.3657914047807"
"121","Seth Curry","Nik Stauskas","26.5696819238509"
"122","Seth Curry","Meyers Leonard","48.432570020357"
"123","Seth Curry","Anfernee Simons","124.626544851326"
"124","Seth Curry","Gary Trent Jr.","124.626544851326"
"125","Seth Curry","Caleb Swanigan","87.3657914047807"
"126","Seth Curry","Wade Baldwin IV","87.3657914047807"
"127","Seth Curry","Justin Anderson","41.487719684628"
"128","Seth Curry","Harrison Barnes","59.5851859366951"
"129","Seth Curry","Wesley Matthews","32.4157052418073"
"130","Seth Curry","Dwight Powell","35.8368691652714"
"131","Seth Curry","Dorian Finney-Smith","75.0865674249517"
"132","Seth Curry","Dirk Nowitzki","33.1802630796481"
"133","Seth Curry","Devin Harris","43.7161057326007"
"134","Seth Curry","Salah Mejri","53.8368004195801"
"135","Seth Curry","Quincy Acy","36.1916965685615"
"136","Seth Curry","Quinn Cook","50.9383531605226"
"137","Seth Curry","Andrew Bogut","57.3573742189951"
"138","Seth Curry","Omri Casspi","55.8718089786793"
"139","Seth Curry","Willie Cauley-Stein","51.7548296916349"
"140","Seth Curry","Ben McLemore","49.3692436011925"
"141","Seth Curry","Kosta Koufos","43.7988594632153"
"142","Seth Curry","Rajon Rondo","62.178739605328"
"143","Seth Curry","Darren Collison","50.6071750264638"
"144","Seth Curry","Rudy Gay","39.6329436879965"
"145","Seth Curry","Marco Belinelli","62.1815137010178"
"146","Seth Curry","Eric Moreland","43.0174681672087"
"147","Seth Curry","DeMarcus Cousins","40.6926434952083"
"148","Seth Curry","Eric Bledsoe","51.6060316009803"
"149","Seth Curry","Marcus Morris","81.4936384507917"
"150","Seth Curry","Alex Len","52.7303756987019"
"151","Seth Curry","Miles Plumlee","64.463787414969"
